pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
133.5,-76.25,180.0,bottom,D1,,,D_DO-35_SOD27_P7.62mm_Horizontal,1N4148,tht
192.62,-65.25,180.0,bottom,D10,,,D_DO-35_SOD27_P7.62mm_Horizontal,1N4148,tht
192.631546,-67.971381,180.0,bottom,D11,,,D_DO-35_SOD27_P7.62mm_Horizontal,1N4148,tht
199.5,-47.13,-90.0,bottom,D12,,,D_DO-35_SOD27_P7.62mm_Horizontal,1N4148,tht
193.12,-90.5,180.0,bottom,D13,,,D_DO-35_SOD27_P7.62mm_Horizontal,1N4148,tht
185.63,-93.25,0.0,bottom,D14,,,D_DO-35_SOD27_P7.62mm_Horizontal,1N4148,tht
185.13,-73.25,0.0,bottom,D15,,,D_DO-35_SOD27_P7.62mm_Horizontal,1N4148,tht
199.625,-59.75,-90.0,top,D16,,,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,SK6812MINI,smt
199.625,-70.0,-90.0,top,D17,,,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,SK6812MINI,smt
199.75,-82.25,-90.0,top,D18,,,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,SK6812MINI,smt
199.875,-93.75,-90.0,top,D19,,,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,SK6812MINI,smt
133.62,-95.25,180.0,bottom,D2,,,D_DO-35_SOD27_P7.62mm_Horizontal,1N4148,tht
189.5,-98.0,180.0,top,D20,,,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,SK6812MINI,smt
152.5,-95.25,180.0,bottom,D3,,,D_DO-35_SOD27_P7.62mm_Horizontal,1N4148,tht
171.31,-95.25,180.0,bottom,D4,,,D_DO-35_SOD27_P7.62mm_Horizontal,1N4148,tht
171.25,-76.0,180.0,bottom,D5,,,D_DO-35_SOD27_P7.62mm_Horizontal,1N4148,tht
171.37,-57.0,180.0,bottom,D6,,,D_DO-35_SOD27_P7.62mm_Horizontal,1N4148,tht
152.37,-57.0,180.0,bottom,D7,,,D_DO-35_SOD27_P7.62mm_Horizontal,1N4148,tht
152.25,-76.0,180.0,bottom,D8,,,D_DO-35_SOD27_P7.62mm_Horizontal,1N4148,tht
133.62,-57.0,180.0,bottom,D9,,,D_DO-35_SOD27_P7.62mm_Horizontal,1N4148,tht
128.0,-28.88,0.0,top,J1,,,PinHeader_1x04_P2.54mm_Vertical,OLED,tht
181.25,-54.15,0.0,top,SW1,,,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,RotaryEncoder_Switch,tht
170.0,-85.42,0.0,top,SW10,,,SW_Cherry_MX_1.00u_PCB,SW_Push,tht
181.25,-79.5,0.0,top,SW11,,,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,RotaryEncoder_Switch,tht
132.04,-47.17,0.0,top,SW2,,,SW_Cherry_MX_1.00u_PCB,SW_Push,tht
132.04,-66.17,0.0,top,SW3,,,SW_Cherry_MX_1.00u_PCB,SW_Push,tht
132.04,-85.42,0.0,top,SW4,,,SW_Cherry_MX_1.00u_PCB,SW_Push,tht
151.04,-47.17,0.0,top,SW5,,,SW_Cherry_MX_1.00u_PCB,SW_Push,tht
151.04,-66.17,0.0,top,SW6,,,SW_Cherry_MX_1.00u_PCB,SW_Push,tht
151.04,-85.42,0.0,top,SW7,,,SW_Cherry_MX_1.00u_PCB,SW_Push,tht
170.0,-47.17,0.0,top,SW8,,,SW_Cherry_MX_1.00u_PCB,SW_Push,tht
170.0,-66.17,0.0,top,SW9,,,SW_Cherry_MX_1.00u_PCB,SW_Push,tht
190.12,-35.13,0.0,top,U1,,,XIAO-RP2040-DIP,XIAO-RP2040-DIP,smt
